Author1,Author2,Weight
Cataldi A,Gerhardt E,2
Sacerdoti F,Sidhu S,2
Amigo N,Gerhardt E,2
Gerhardt E,Ibarra C,2
Gerhardt E,Zotta E,2
Amigo N,Ibarra C,2
Amigo N,Zotta E,2
Alvarez R,Palermo M,2
Amaral M,Mejias M,2
Bruballa A,Mejias M,2
Amigo N,Cataldi A,2
Amaral M,Damiano A,2
Albanese A,Zotta E,2
Bruballa A,Ibarra C,2
Amaral M,Bruballa A,2
Fabi M,Roggiero G,1
Fabi M,Sicurello M,1
Fabi M,Sardella A,1
Fabi M,Tolin A,1
Manso P,Villalba C,1
Appel-Rubio J,Riedel C,1
Araya J,Opazo M,1
Manso P,Vainstein E,1
Castro E,Damiano A,1
Appel-Rubio J,Rodriguez A,1
Fabi M,Rios Leiva C,1
Araya J,Castro E,1
Fabi M,Pena S,1
Araya J,Riedel C,1
Fabi M,Murer M,1
Fabi M,Manso P,1
Fabi M,Magliola R,1
Araya J,Rodriguez A,1
Fabi M,Vaccarello M,1
Fabi M,Triguy J,1
Fabi M,Zold C,1
Escudero P,Galaviz-Hernandez C,1
Castro E,Mennickent D,1
Castro E,Guzman-Gutierrez E,1
Escudero P,Giachini F,1
Castro E,Eriz-Salinas A,1
Escudero P,Gonzalez-Ortiz M,1
Escudero P,Lima V,1
Goldaracena P,Gonzalez G,1
Goldaracena P,Goldsman A,1
Escudero P,Martin S,1
Hortas M,Sardella A,1
Appel-Rubio J,Guzman-Gutierrez E,1
Appel-Rubio J,Mennickent D,1
Fabi M,Villalba C,1
Fabi M,Vainstein E,1
Appel-Rubio J,Opazo M,1
