GeneID,Symbol,TaxID,PathwaySource,PathwayID,PathwayName
1499,CTNNB1,9606,wikipathways,WP4842,Mammalian disorder of sexual development
1499,CTNNB1,9606,wikipathways,WP4844,The influence of laminopathies on Wnt signaling
1499,CTNNB1,9606,wikipathways,WP4879,The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies
1499,CTNNB1,9606,wikipathways,WP4905,1q21.1 copy number variation syndrome
1499,CTNNB1,9606,wikipathways,WP5053,Development of ureteric collection system
1499,CTNNB1,9606,wikipathways,WP560,TGF-beta Receptor Signaling
1499,CTNNB1,9606,wikipathways,WP706,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways
1499,CTNNB1,9606,wikipathways,WP710,DNA damage response (only ATM dependent)
212541,Rho,10090,kegg,mmu04744,Phototransduction - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04012,ErbB signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04020,Calcium signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04024,cAMP signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04066,HIF-1 signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04114,Oocyte meiosis - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04217,Necroptosis - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04310,Wnt signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04360,Axon guidance - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04713,Circadian entrainment - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04720,Long-term potentiation - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04722,Neurotrophin signaling pathway - Mus musculus (mouse)
108058,Camk2d,10090,kegg,mmu04725,Cholinergic synapse - Mus musculus (mouse)
